node,similar_node,cosine_similarity
"GPT models","OpenAI",0.519585
"GPT models","Command models",0.500000
"GPT models","San Francisco",0.353554
"GPT models","Sam Altman",0.335410
"GPUs","Nvidia",0.514272
"GPUs","Llama",0.333333
"GPUs","Grok",0.333333
"GPUs","Gemini",0.333333
"GPUs","Claude",0.333333
"Gemini","Google",0.500980
"Gemini","Llama",0.333333
"Gemini","Grok",0.333333
"Gemini","GPUs",0.333333
"Gemini","Claude",0.333333
"Google","DeepMind in 2014",0.679100
"Google","1998",0.623675
"Google","Nick Frosst",0.588118
"Google","Mountain View",0.582086
"Google","Daniel De Freitas",0.582086
"Greg Brockman","2015",0.670821
"Greg Brockman","OpenAI",0.661348
"Greg Brockman","Wojciech Zaremba",0.600001
"Greg Brockman","John Schulman",0.600001
"Greg Brockman","Ilya Sutskever",0.600001
"Grok","xAI",0.640512
"Grok","the San Francisco Bay Area",0.408248
"Grok","Llama",0.333333
"Grok","Gemini",0.333333
"Grok","GPUs",0.333333
"Ilya Sutskever","OpenAI",0.643473
"Ilya Sutskever","Wojciech Zaremba",0.600001
"Ilya Sutskever","John Schulman",0.600001
"Ilya Sutskever","Greg Brockman",0.600001
"Ilya Sutskever","Elon Musk",0.527047
"Inflection AI","Karen Simonyan",0.894427
"Inflection AI","Reid Hoffman",0.670821
"Inflection AI","Pi",0.670820
"Inflection AI","2022",0.653538
"Inflection AI","Perplexity AI",0.616769
"Instagram","WhatsApp",0.666666
"Instagram","Meta",0.646058
"Instagram","Llama",0.333333
"Instagram","2004",0.288675
"Instagram","Yann LeCun",0.258199
"Ivan Zhang","Sergey Brin",0.800001
"Ivan Zhang","Cohere",0.764094
"Ivan Zhang","Reid Hoffman",0.447214
"Ivan Zhang","Karen Simonyan",0.447214
"Ivan Zhang","2019",0.447214
"Jensen Huang","Nvidia",0.612852
"Jensen Huang","DeepMind",0.608512
"Jensen Huang","Shane Legg",0.600001
"Jensen Huang","Curtis Priem",0.600001
"Jensen Huang","Chris Malachowsky",0.600001
"John Schulman","OpenAI",0.661348
"John Schulman","Elon Musk",0.632457
"John Schulman","Wojciech Zaremba",0.600001
"John Schulman","Ilya Sutskever",0.600001
"John Schulman","Greg Brockman",0.600001
"Johnny Ho","Perplexity AI",0.826186
"Johnny Ho","Denis Yarats",0.666666
"Johnny Ho","Andy Konwinski",0.666666
"Johnny Ho","Reid Hoffman",0.612372
"Johnny Ho","Karen Simonyan",0.612372
"Karen Simonyan","Inflection AI",0.894427
"Karen Simonyan","Reid Hoffman",0.750000
"Karen Simonyan","Perplexity AI",0.637102
"Karen Simonyan","Johnny Ho",0.612372
"Karen Simonyan","Denis Yarats",0.612372
"Larry Page","Wojciech Zaremba",0.600001
"Larry Page","Sergey Brin",0.600001
"Larry Page","Google",0.557832
"Larry Page","Daniel De Freitas",0.500000
"Larry Page","Reid Hoffman",0.447214
"Llama","Meta",0.646058
"Llama","2004",0.577350
"Llama","WhatsApp",0.333333
"Llama","Instagram",0.333333
"Llama","Grok",0.333333
"London","DeepMind",0.529150
"London","Toronto",0.500000
"London","Redmond",0.500000
"London","2010",0.500000
"London","San Francisco",0.471405
"Mark Zuckerberg","Bill Gates",0.600001
"Mark Zuckerberg","Meta",0.542137
"Mark Zuckerberg","Reid Hoffman",0.447214
"Mark Zuckerberg","Karen Simonyan",0.447214
"Mark Zuckerberg","2004",0.447214
"Menlo Park","Meta",0.583840
"Menlo Park","Toronto",0.447214
"Menlo Park","Redmond",0.447214
"Menlo Park","2004",0.447214
"Menlo Park","San Francisco",0.421638
"Meta","2004",0.699378
"Meta","WhatsApp",0.646058
"Meta","Llama",0.646058
"Meta","Instagram",0.646058
"Meta","Menlo Park",0.583840
"Microsoft","1975",0.678401
"Microsoft","Bill Gates",0.606781
"Microsoft","Paul Allen",0.573071
"Microsoft","Redmond",0.565334
"Microsoft","Azure AI",0.565334
"Mountain View","Google",0.582086
"Mountain View","Toronto",0.447214
"Mountain View","Redmond",0.447214
"Mountain View","London",0.447214
"Mountain View","1998",0.447214
"Mustafa Suleyman","Curtis Priem",0.613573
"Mustafa Suleyman","Karen Simonyan",0.600245
"Mustafa Suleyman","Inflection AI",0.567555
"Mustafa Suleyman","DeepMind",0.518563
"Mustafa Suleyman","Reid Hoffman",0.514496
"Nick Frosst","Daniel De Freitas",0.692821
"Nick Frosst","Google",0.588118
"Nick Frosst","Cohere",0.519000
"Nick Frosst","Aidan Gomez",0.466667
"Nick Frosst","Sergey Brin",0.461881
"Noam Shazeer","Google",0.500979
"Noam Shazeer","Character AI",0.476290
"Noam Shazeer","Demis Hassabis",0.433013
"Noam Shazeer","DeepMind",0.392792
"Noam Shazeer","Daniel De Freitas",0.387298
"Nvidia","Jensen Huang",0.612852
"Nvidia","Curtis Priem",0.612852
"Nvidia","Chris Malachowsky",0.612852
"Nvidia","1993",0.548151
"Nvidia","Amazon",0.520022
"OpenAI","Sam Altman",0.750718
"OpenAI","2015",0.699441
"OpenAI","Greg Brockman",0.661348
"OpenAI","John Schulman",0.661348
"OpenAI","Ilya Sutskever",0.643473
"Paul Allen","Bill Gates",0.600001
"Paul Allen","Microsoft",0.573071
"Paul Allen","Reid Hoffman",0.447214
"Paul Allen","Karen Simonyan",0.447214
"Paul Allen","Aravind Srinivas",0.447214
"Perplexity AI","Johnny Ho",0.826186
"Perplexity AI","Denis Yarats",0.795586
"Perplexity AI","Andy Konwinski",0.795586
"Perplexity AI","an AI answer engine",0.724547
"Perplexity AI","2022",0.688999
"Pi","Inflection AI",0.670820
"Pi","an AI answer engine",0.500000
"Pi","Karen Simonyan",0.500000
"Pi","Azure AI",0.500000
"Pi","conversational agents",0.447214
"Redmond","Microsoft",0.565334
"Redmond","Toronto",0.500000
"Redmond","London",0.500000
"Redmond","1975",0.500000
"Redmond","San Francisco",0.471405
"Reid Hoffman","Karen Simonyan",0.750000
"Reid Hoffman","Inflection AI",0.670821
"Reid Hoffman","Johnny Ho",0.612372
"Reid Hoffman","Mustafa Suleyman",0.514496
"Reid Hoffman","Elon Musk",0.471405
"Sam Altman","OpenAI",0.750718
"Sam Altman","Wojciech Zaremba",0.500000
"Sam Altman","Ilya Sutskever",0.500000
"Sam Altman","Greg Brockman",0.500000
"Sam Altman","2015",0.447213
"San Francisco","the San Francisco Bay Area",0.666667
"San Francisco","Anthropic",0.507151
"San Francisco","Toronto",0.471405
"San Francisco","Redmond",0.471405
"San Francisco","London",0.471405
"Sergey Brin","Ivan Zhang",0.800001
"Sergey Brin","Cohere",0.674200
"Sergey Brin","Wojciech Zaremba",0.600001
"Sergey Brin","Larry Page",0.600001
"Sergey Brin","Google",0.509326
"Shane Legg","DeepMind",0.676124
"Shane Legg","Jensen Huang",0.600001
"Shane Legg","Denis Yarats",0.547723
"Shane Legg","Daniel De Freitas",0.500000
"Shane Legg","Mustafa Suleyman",0.460180
"Toronto","Cohere",0.603023
"Toronto","Redmond",0.500000
"Toronto","London",0.500000
"Toronto","2019",0.500000
"Toronto","San Francisco",0.471405
"WhatsApp","Instagram",0.666666
"WhatsApp","Meta",0.646058
"WhatsApp","Llama",0.333333
"WhatsApp","2004",0.288675
"WhatsApp","Yann LeCun",0.258199
"Wojciech Zaremba","OpenAI",0.643473
"Wojciech Zaremba","Sergey Brin",0.600001
"Wojciech Zaremba","Larry Page",0.600001
"Wojciech Zaremba","John Schulman",0.600001
"Wojciech Zaremba","Ilya Sutskever",0.600001
"Yann LeCun","Meta",0.500434
"Yann LeCun","WhatsApp",0.258199
"Yann LeCun","Noam Shazeer",0.258199
"Yann LeCun","Llama",0.258199
"Yann LeCun","Instagram",0.258199
"an AI answer engine","Perplexity AI",0.724547
"an AI answer engine","2022",0.549972
"an AI answer engine","Johnny Ho",0.544331
"an AI answer engine","Pi",0.500000
"an AI answer engine","Azure AI",0.500000
"artificial intelligence company","artificial intelligence safety company",0.863868
"artificial intelligence company","artificial intelligence search company",0.824643
"artificial intelligence company","artificial intelligence research company",0.816278
"artificial intelligence company","technology company",0.628556
"artificial intelligence company","Anthropic",0.483274
"artificial intelligence research company","artificial intelligence company",0.816278
"artificial intelligence research company","artificial intelligence safety company",0.755928
"artificial intelligence research company","artificial intelligence search company",0.668152
"artificial intelligence research company","technology company",0.550018
"artificial intelligence research company","DeepMind",0.514285
"artificial intelligence safety company","artificial intelligence company",0.863868
"artificial intelligence safety company","artificial intelligence research company",0.755928
"artificial intelligence safety company","artificial intelligence search company",0.707106
"artificial intelligence safety company","Anthropic",0.659841
"artificial intelligence safety company","technology company",0.646761
"artificial intelligence search company","artificial intelligence company",0.824643
"artificial intelligence search company","artificial intelligence safety company",0.707106
"artificial intelligence search company","artificial intelligence research company",0.668152
"artificial intelligence search company","Perplexity AI",0.556498
"artificial intelligence search company","technology company",0.514495
"conversational agents","Character AI",0.685161
"conversational agents","an AI answer engine",0.447214
"conversational agents","Pi",0.447214
"conversational agents","Azure AI",0.447214
"conversational agents","Inflection AI",0.320000
"technology company","artificial intelligence safety company",0.646761
"technology company","artificial intelligence company",0.628556
"technology company","artificial intelligence research company",0.550018
"technology company","artificial intelligence search company",0.514495
"technology company","Anthropic",0.469668
"the San Francisco Bay Area","xAI",0.686405
"the San Francisco Bay Area","San Francisco",0.666667
"the San Francisco Bay Area","Grok",0.408248
"the San Francisco Bay Area","Toronto",0.353553
"the San Francisco Bay Area","Redmond",0.353553
"xAI","2023",0.693375
"xAI","the San Francisco Bay Area",0.686405
"xAI","Grok",0.640512
"xAI","Elon Musk",0.490290
"xAI","Anthropic",0.441604
